Year,PUMA,MIGPUMA
2011,100,190
2011,100,290
2011,200,190
2011,200,290
2011,200,700
2011,300,300
2011,300,400
2011,300,700
2011,400,300
2011,400,400
2011,400,290
2011,500,300
2011,500,400
2011,500,600
2011,500,700
2011,600,600
2011,600,700
2011,600,800
2011,700,800
2011,700,1900
2011,700,2090
2011,800,900
2011,800,1000
2011,900,600
2011,900,1000
2011,900,1800
2011,1001,1100
2011,1001,1100
2011,1001,1100
2011,1001,1200
2011,1002,1100
2011,1002,1100
2011,1002,1100
2011,1100,1590
2011,1100,1700
2011,1201,1500
2011,1202,1500
2011,1202,1500
2011,1203,1500
2011,1203,1500
2011,1203,2300
2011,1301,1400
2011,1301,1400
2011,1301,1400
2011,1302,1400
2011,1302,1400
2011,1303,1400
2011,1303,1400
2011,1401,1400
2011,1401,1400
2011,1401,1400
2011,1401,1400
2011,1402,1400
2011,1402,1400
2011,1402,1400
2011,1402,1400
2011,1403,1400
2011,1403,1400
2011,1403,1400
2011,1404,1400
2011,1405,1400
2011,1405,1400
2011,1405,1400
2011,1405,1400
2011,1406,1400
2011,1406,1400
2011,1501,1300
2011,1501,1300
2011,1501,1300
2011,1502,1300
2011,1502,1300
2011,1601,1300
2011,1601,1300
2011,1602,1200
2011,1602,1300
2011,1602,1300
2011,1700,1200
2011,1700,1200
2011,1700,1300
2011,1800,1900
2011,1800,2090
2011,1800,2300
2011,1900,800
2011,1900,2090
2011,2000,2200
2011,2100,1500
2011,2100,1900
2011,2100,2300
2011,2200,2500
2011,2200,2600
2011,2300,2500
2011,2300,2600
2011,2400,2400
2011,2500,2090
2012,100,100
2012,200,200
2012,300,390
2012,400,390
2012,500,390
2012,600,600
2012,700,700
2012,800,800
2012,900,900
2012,1000,1000
2012,1101,1100
2012,1102,1100
2012,1103,1100
2012,1201,1200
2012,1202,1200
2012,1301,1300
2012,1302,1300
2012,1303,1300
2012,1304,1300
2012,1401,1400
2012,1402,1400
2012,1403,1400
2012,1404,1400
2012,1405,1400
2012,1406,1400
2012,1407,1400
2012,1408,1400
2012,1409,1400
2012,1410,1400
2012,1501,1500
2012,1502,1500
2012,1503,1500
2012,1600,1690
2012,1700,1690
2012,1800,1800
2012,1900,1900
2012,2000,2000
2012,2100,2100
2012,2200,2200
2012,2300,2300
2012,2400,2400
2012,2500,2500
2012,2600,2600
2013,100,100
2013,200,200
2013,300,390
2013,400,390
2013,500,390
2013,600,600
2013,700,700
2013,800,800
2013,900,900
2013,1000,1000
2013,1101,1100
2013,1102,1100
2013,1103,1100
2013,1201,1200
2013,1202,1200
2013,1301,1300
2013,1302,1300
2013,1303,1300
2013,1304,1300
2013,1401,1400
2013,1402,1400
2013,1403,1400
2013,1404,1400
2013,1405,1400
2013,1406,1400
2013,1407,1400
2013,1408,1400
2013,1409,1400
2013,1410,1400
2013,1501,1500
2013,1502,1500
2013,1503,1500
2013,1600,1690
2013,1700,1690
2013,1800,1800
2013,1900,1900
2013,2000,2000
2013,2100,2100
2013,2200,2200
2013,2300,2300
2013,2400,2400
2013,2500,2500
2013,2600,2600
2014,100,100
2014,200,200
2014,300,390
2014,400,390
2014,500,390
2014,600,600
2014,700,700
2014,800,800
2014,900,900
2014,1000,1000
2014,1101,1100
2014,1102,1100
2014,1103,1100
2014,1201,1200
2014,1202,1200
2014,1301,1300
2014,1302,1300
2014,1303,1300
2014,1304,1300
2014,1401,1400
2014,1402,1400
2014,1403,1400
2014,1404,1400
2014,1405,1400
2014,1406,1400
2014,1407,1400
2014,1408,1400
2014,1409,1400
2014,1410,1400
2014,1501,1500
2014,1502,1500
2014,1503,1500
2014,1600,1690
2014,1700,1690
2014,1800,1800
2014,1900,1900
2014,2000,2000
2014,2100,2100
2014,2200,2200
2014,2300,2300
2014,2400,2400
2014,2500,2500
2014,2600,2600
2015,100,100
2015,200,200
2015,300,390
2015,400,390
2015,500,390
2015,600,600
2015,700,700
2015,800,800
2015,900,900
2015,1000,1000
2015,1101,1100
2015,1102,1100
2015,1103,1100
2015,1201,1200
2015,1202,1200
2015,1301,1300
2015,1302,1300
2015,1303,1300
2015,1304,1300
2015,1401,1400
2015,1402,1400
2015,1403,1400
2015,1404,1400
2015,1405,1400
2015,1406,1400
2015,1407,1400
2015,1408,1400
2015,1409,1400
2015,1410,1400
2015,1501,1500
2015,1502,1500
2015,1503,1500
2015,1600,1690
2015,1700,1690
2015,1800,1800
2015,1900,1900
2015,2000,2000
2015,2100,2100
2015,2200,2200
2015,2300,2300
2015,2400,2400
2015,2500,2500
2015,2600,2600
