"","geogroup","agegroup","pct_moved_in","pct_moved_in_se","moved_in","moved_in_se","moved_out","moved_out_se","pct_moved_out","pct_moved_out_se","net_migration"
"1","Greater MN","17 and Younger",0.0132825767849881,0.000544872720123629,7610,312.403785188336,8716,447.792879018861,0.0152130012165514,0.000781582562330998,-1106
"2","Greater MN","18 to 21",0.0519987518174998,0.00186641993384704,7832,285.656532996797,11246,394.622523550988,0.0746652148799288,0.00262000493663615,-3414
"3","Greater MN","22 to 29",0.0463583268916946,0.00152744061690436,10795,358.982628409788,12299,446.544661820069,0.0528171433479344,0.00191765293232029,-1504
"4","Greater MN","30 and Over",0.0102275753075691,0.000264424206110841,15441,399.532108964661,20103,572.025008194572,0.0133155201352284,0.000378889246106005,-4662
"5","Hennepin","17 and Younger",0.0194272385060801,0.00125646468417703,5197,335.397208312398,4508,267.66847965347,0.0168516434838194,0.00100058868477734,689
"6","Hennepin","18 to 21",0.0815769549064145,0.00384768274856288,4633,232.958880491816,6176,236.447575783196,0.108745796136848,0.00416332251840044,-1543
"7","Hennepin","22 to 29",0.0662157579170319,0.00261789379048879,10348,402.829861728249,8456,289.343390282204,0.0541090499561676,0.00185147776244935,1892
"8","Hennepin","30 and Over",0.018616057743221,0.000620418101723359,13360,445.762401503032,14108,368.40224258784,0.0196583340300421,0.000513338130295461,-748
"9","Metro","17 and Younger",0.0120413151462588,0.000973123636080984,3818,308.580449143736,3593,257.519124289828,0.0113317038555547,0.000812171014081301,225
"10","Metro","18 to 21",0.0252097620780813,0.00304269886350559,1316,161.856915495601,7214,251.564077324248,0.138193938929543,0.00481905055988553,-5898
"11","Metro","22 to 29",0.0460192324352421,0.00259447412443224,5312,303.481337976489,4736,197.386720282166,0.0410291951832279,0.0017100123042733,576
"12","Metro","30 and Over",0.014042877658299,0.000635255768309089,10424,470.937558891834,8895,329.342913759732,0.0119830580171306,0.000443680184723294,1529
"13","Ramsey","17 and Younger",0.0186874105865522,0.0020917571574592,2299,257.063445476015,1448,176.398348915176,0.0117700611262843,0.00143385314178677,851
"14","Ramsey","18 to 21",0.0629422122618857,0.00424770533628374,1966,133.906141919443,1764,144.315279314943,0.0564751080518649,0.00462030668537249,202
"15","Ramsey","22 to 29",0.0744308954278951,0.00488917632939378,5408,364.065282392801,4034,232.98083310382,0.0555203831649646,0.00320654068518431,1374
"16","Ramsey","30 and Over",0.0183044380035632,0.000977760485317831,5507,294.041555045796,4174,217.431805041834,0.0138737469088202,0.000722710549371906,1333
